IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.67.74.74,8,8,0.00,1.85,234.79,SJC
104.19.52.112,8,8,0.00,2.01,225.78,SJC
104.19.48.90,8,8,0.00,2.17,201.73,SJC
104.17.233.186,8,8,0.00,1.92,185.53,SJC
104.27.25.109,8,8,0.00,2.11,168.49,SJC
104.19.21.17,8,8,0.00,1.96,164.38,SJC
104.19.74.175,8,8,0.00,2.05,161.78,SJC
104.19.60.166,8,8,0.00,2.14,161.52,SJC
104.16.243.100,8,8,0.00,2.12,158.94,SJC
104.19.104.175,8,8,0.00,2.18,156.44,SJC
108.162.196.100,8,8,0.00,2.16,156.42,SJC
104.19.59.0,8,8,0.00,2.01,153.34,SJC
104.25.33.153,8,8,0.00,2.04,153.09,SJC
104.16.208.245,8,8,0.00,2.17,152.03,SJC
172.67.94.217,8,8,0.00,2.03,151.31,SJC
104.19.15.26,8,8,0.00,2.15,150.88,SJC
104.24.76.221,8,8,0.00,1.96,150.31,SJC
173.245.58.34,8,8,0.00,1.84,148.68,SJC
104.19.66.42,8,8,0.00,1.96,143.52,SJC
104.18.107.139,8,8,0.00,2.08,142.68,SJC
172.64.235.251,8,8,0.00,2.09,135.80,SJC
104.24.158.162,8,8,0.00,1.96,133.57,SJC
198.41.199.165,8,8,0.00,1.88,132.53,SJC
104.19.118.249,8,8,0.00,2.14,130.59,SJC
104.19.65.171,8,8,0.00,2.14,129.72,SJC
