IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.19.48.65,8443,8443,true,DX,Asia Pacific,Tokyo,164.27,10.11
162.159.44.152,8443,8443,true,DX,Asia Pacific,Tokyo,168.41,10.11
162.159.38.105,8443,8443,true,DX,Asia Pacific,Tokyo,169.53,10.11
104.19.45.146,8443,8443,true,DX,Asia Pacific,Tokyo,169.94,10.11
104.19.22.251,8443,8443,true,DX,Asia Pacific,Tokyo,170.71,10.11
104.19.62.34,8443,8443,true,DX,Asia Pacific,Tokyo,171.02,10.11
104.19.77.5,8443,8443,true,DX,Asia Pacific,Tokyo,173.37,10.11
104.16.119.161,8443,8443,true,DX,Asia Pacific,Tokyo,173.57,10.11
162.159.243.108,8443,8443,true,DX,Asia Pacific,Tokyo,173.86,10.11
141.101.123.226,8443,8443,true,DX,Asia Pacific,Tokyo,174.63,10.11
104.18.126.123,8443,8443,true,DX,Asia Pacific,Tokyo,174.72,10.11
104.19.102.107,8443,8443,true,DX,Asia Pacific,Tokyo,174.76,10.11
104.19.51.215,8443,8443,true,DX,Asia Pacific,Tokyo,175.58,10.11
104.16.117.74,8443,8443,true,DX,Asia Pacific,Tokyo,176.27,10.11
104.19.33.254,8443,8443,true,DX,Asia Pacific,Tokyo,176.61,10.11
104.19.135.26,8443,8443,true,DX,Asia Pacific,Tokyo,177.14,10.11
104.19.50.47,8443,8443,true,DX,Asia Pacific,Tokyo,178.24,10.11
104.16.121.189,8443,8443,true,DX,Asia Pacific,Tokyo,178.63,10.11
104.18.120.221,8443,8443,true,DX,Asia Pacific,Tokyo,179.02,10.11
104.19.60.56,8443,8443,true,DX,Asia Pacific,Tokyo,179.40,10.11
104.19.44.231,8443,8443,true,DX,Asia Pacific,Tokyo,179.70,10.11
141.101.122.69,8443,8443,true,DX,Asia Pacific,Tokyo,181.25,10.11
104.19.31.226,8443,8443,true,DX,Asia Pacific,Tokyo,181.47,10.11
162.159.247.139,8443,8443,true,DX,Asia Pacific,Tokyo,181.79,10.11
141.101.121.201,8443,8443,true,DX,Asia Pacific,Tokyo,182.17,10.11
104.19.58.181,8443,8443,true,DX,Asia Pacific,Tokyo,183.44,10.11
104.19.26.92,8443,8443,true,DX,Asia Pacific,Tokyo,183.67,10.11
162.159.255.215,8443,8443,true,DX,Asia Pacific,Tokyo,183.84,10.11
162.159.39.154,8443,8443,true,DX,Asia Pacific,Tokyo,183.85,10.11
104.18.121.18,8443,8443,true,DX,Asia Pacific,Tokyo,184.02,10.11
104.19.104.144,8443,8443,true,DX,Asia Pacific,Tokyo,184.05,10.11
104.18.118.105,8443,8443,true,DX,Asia Pacific,Tokyo,185.00,10.11
104.19.20.5,8443,8443,true,DX,Asia Pacific,Tokyo,185.30,10.11
104.19.112.22,8443,8443,true,DX,Asia Pacific,Tokyo,185.69,10.11
162.159.250.115,8443,8443,true,DX,Asia Pacific,Tokyo,185.91,10.11
104.19.248.56,8443,8443,true,DX,Asia Pacific,Tokyo,186.41,10.11
104.19.53.113,8443,8443,true,DX,Asia Pacific,Tokyo,187.13,10.11
104.16.221.10,8443,8443,true,DX,Asia Pacific,Tokyo,187.67,10.11
104.19.32.81,8443,8443,true,DX,Asia Pacific,Tokyo,188.03,10.11
162.159.251.82,8443,8443,true,DX,Asia Pacific,Tokyo,188.21,10.11
162.159.248.43,8443,8443,true,DX,Asia Pacific,Tokyo,188.33,10.11
162.159.242.139,8443,8443,true,DX,Asia Pacific,Tokyo,189.20,10.11
104.16.210.18,8443,8443,true,DX,Asia Pacific,Tokyo,189.36,10.11
104.19.34.149,8443,8443,true,DX,Asia Pacific,Tokyo,189.53,10.11
173.245.49.217,8443,8443,true,DX,Asia Pacific,Tokyo,190.26,10.11
104.16.127.107,8443,8443,true,DX,Asia Pacific,Tokyo,190.34,10.11
